Checkpoint,PCK@0.2,MPJPE,MSE,AUC,Det_Rate
DS_Best_Ep25,0.7569,40.0647,1961.2206,0.6873,100.00
DS_Epoch_10,0.7240,41.0814,2085.1284,0.6793,100.00
DS_Epoch_20,0.7095,41.1550,2070.2686,0.6790,99.50
DS_Epoch_30,0.7269,41.4014,2142.5720,0.6776,100.00
DS_Epoch_40,0.7350,40.7531,2076.2979,0.6810,100.00
DS_Epoch_50,0.7245,40.2425,2024.0913,0.6859,100.00
DS_Epoch_60,0.7414,40.5046,2049.4404,0.6835,100.00
DS_Epoch_70,0.7340,40.2660,2036.0952,0.6852,100.00
DS_Epoch_80,0.7269,40.5116,2054.7732,0.6839,100.00
DS_Epoch_90,0.7271,40.7179,2072.6423,0.6820,100.00
DS_Epoch_100,0.7305,40.6510,2070.1619,0.6831,100.00
